Name	ID	Colat	Long	SLE4.5	SLE8.5	dSLE1	dSLE2	dSLE3
Iceland	1	25	343	3.98	4.9	4.8	2.15	0.89
Svalbard	2	11	18	12.41	15.81	5.58	3.77	0.53
NOVAYA_ZEMLYA	3	12	59	0	0	0	0	0
SEVERNAYA_ZEMLYA	4	11	98	0	0	0	0	0
Kamchatka	5	34	160	0.58	0.63	0.27	0.05	0.13
HMA_1	6	54	82	0	0	0	0	0
HMA_2	7	55	76	0	0	0	0	0
Caucasus	8	47	45	0.15	0.16	0.09	0.01	0.03
Alps	9	44	8	0.29	0.33	0.28	0.04	0.04
Scandinavia	10	27	11	0.37	0.45	0.29	0.12	0.05
Alaska	11	27	209	17.57	25.4	22.36	6.72	4.59
Western_Can_US	12	39	236	2.36	2.62	1.16	0.3	0.33
Baffin	13	20	289	11.44	14.99	7.98	4.25	0.9
Ellesmere	14	11	279	29.85	42.16	16.58	11.16	1.85
Low_Lat_Andes	15	103	286	0.49	0.54	0.64	0.03	0.03
Patagonia	16	138	287	6.16	8.51	6.28	1.36	1.08
New_Zealand	17	135	170	0.08	0.14	0.26	0.03	0.04
RussianArctic	21.0304	1000	1000	20.29	28.31	11.2	7.53	0.4
CentralAsia	22.06	1000	1000	8.7	11.94	10.27	2.46	0.38
SouthAsiaWest	23.07	1000	1000	4.52	7.09	8.21	2.26	0.47
SouthAsiaEast	24.07	1000	1000	2.47	3.48	4.87	0.69	0.15
Greenland	101	1000	1000	12.12	20.4	9.33	7.21	1.73
Antarctic	102	1000	1000	21.11	27.75	18.4	5.53	5.26
